Index,4ES_1,4ES_2,4ES_3,4ES_4,4PF_1,4PF_2,4PF_3,4PF_4
35,2509.798,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
36,2509.798,2509.798,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798
37,2509.798,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798,2529.406
38,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798,2509.798,2509.798
39,2529.406,2529.406,2529.406,2529.406,2509.798,2529.406,2509.798,2509.798
40,2509.798,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798,2509.798
41,2509.798,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
42,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798,2509.798
43,2509.798,2529.406,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798
44,2529.406,2509.798,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798
45,2509.798,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
46,2529.406,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798,2529.406
47,2509.798,2509.798,2529.406,2529.406,2529.406,2509.798,2529.406,2509.798
48,2509.798,2509.798,2529.406,2509.798,2529.406,2529.406,2509.798,2529.406
49,2529.406,2509.798,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798
50,2509.798,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798,2509.798
51,2509.798,2509.798,2529.406,2509.798,2529.406,2509.798,2509.798,2509.798
52,2509.798,2509.798,2529.406,2509.798,2509.798,2529.406,2529.406,2509.798
53,2509.798,2509.798,2509.798,2509.798,2529.406,2529.406,2509.798,2509.798
54,2509.798,2529.406,2509.798,2509.798,2529.406,2529.406,2509.798,2509.798
55,2509.798,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
56,2529.406,2529.406,2529.406,2529.406,2509.798,2529.406,2529.406,2509.798
57,2529.406,2529.406,2509.798,2509.798,2509.798,2529.406,2509.798,2509.798
58,2509.798,2509.798,2529.406,2509.798,2529.406,2529.406,2529.406,2509.798
59,2509.798,2529.406,2529.406,2509.798,2529.406,2529.406,2509.798,2509.798
