Index,Time,4ES_1,Time,4ES_2,Time,4ES_3,Time,4ES_4,Time,4PF_1,Time,4PF_2,Time,4PF_3,Time,4PF_4
59,140.658,2509.798,140.658,2529.406,140.658,2529.406,140.658,2509.798,140.658,2529.406,140.658,2529.406,140.658,2509.798,140.658,2509.798
60,140.677,2529.406,140.677,2509.798,140.677,2529.406,140.677,2529.406,140.677,2509.798,140.677,2509.798,140.677,2509.798,140.677,2509.798
61,140.695,2509.798,140.695,2529.406,140.695,2509.798,140.695,2529.406,140.695,2509.798,140.695,2529.406,140.695,2509.798,140.695,2529.406
62,140.714,2529.406,140.714,2509.798,140.714,2529.406,140.714,2509.798,140.714,2509.798,140.714,2509.798,140.714,2509.798,140.714,2509.798
63,140.732,2509.798,140.732,2529.406,140.732,2529.406,140.732,2509.798,140.732,2529.406,140.732,2509.798,140.732,2509.798,140.732,2509.798
64,140.751,2509.798,140.751,2529.406,140.751,2529.406,140.751,2529.406,140.751,2529.406,140.751,2509.798,140.751,2509.798,140.751,2509.798
65,140.769,2529.406,140.769,2509.798,140.769,2509.798,140.769,2509.798,140.769,2509.798,140.769,2509.798,140.769,2529.406,140.769,2529.406
66,140.788,2509.798,140.788,2509.798,140.788,2529.406,140.788,2529.406,140.788,2509.798,140.788,2529.406,140.788,2529.406,140.788,2509.798
67,140.806,2509.798,140.806,2509.798,140.806,2529.406,140.806,2529.406,140.806,2529.406,140.806,2529.406,140.806,2509.798,140.806,2509.798
68,140.824,2509.798,140.824,2529.406,140.824,2529.406,140.824,2509.798,140.824,2529.406,140.824,2509.798,140.824,2509.798,140.824,2529.406
69,140.843,2509.798,140.843,2529.406,140.843,2529.406,140.843,2509.798,140.843,2529.406,140.843,2509.798,140.843,2529.406,140.843,2509.798
70,140.861,2509.798,140.861,2529.406,140.861,2529.406,140.861,2509.798,140.861,2509.798,140.861,2529.406,140.861,2509.798,140.861,2509.798
71,140.88,2509.798,140.88,2529.406,140.88,2529.406,140.88,2529.406,140.88,2509.798,140.88,2529.406,140.88,2509.798,140.88,2509.798
72,140.898,2509.798,140.898,2529.406,140.898,2529.406,140.898,2529.406,140.898,2509.798,140.898,2509.798,140.898,2509.798,140.898,2509.798
73,140.917,2509.798,140.917,2529.406,140.917,2529.406,140.917,2529.406,140.917,2509.798,140.917,2529.406,140.917,2509.798,140.917,2529.406
74,140.935,2529.406,140.935,2509.798,140.935,2509.798,140.935,2529.406,140.935,2529.406,140.935,2529.406,140.935,2509.798,140.935,2529.406
75,140.953,2509.798,140.953,2509.798,140.953,2529.406,140.953,2529.406,140.953,2529.406,140.953,2529.406,140.953,2509.798,140.953,2509.798
76,140.972,2509.798,140.972,2509.798,140.972,2529.406,140.972,2529.406,140.972,2529.406,140.972,2529.406,140.972,2509.798,140.972,2509.798
77,140.99,2509.798,140.99,2509.798,140.99,2509.798,140.99,2529.406,140.99,2509.798,140.99,2529.406,140.99,2529.406,140.99,2529.406
78,141.009,2529.406,141.009,2509.798,141.009,2509.798,141.009,2529.406,141.009,2509.798,141.009,2509.798,141.009,2509.798,141.009,2529.406
79,141.027,2529.406,141.027,2509.798,141.027,2529.406,141.027,2529.406,141.027,2529.406,141.027,2509.798,141.027,2509.798,141.027,2509.798
80,141.046,2509.798,141.046,2509.798,141.046,2529.406,141.046,2529.406,141.046,2529.406,141.046,2529.406,141.046,2509.798,141.046,2509.798
81,141.064,2509.798,141.064,2529.406,141.064,2529.406,141.064,2509.798,141.064,2529.406,141.064,2509.798,141.064,2509.798,141.064,2509.798
82,141.082,2509.798,141.082,2529.406,141.082,2529.406,141.082,2529.406,141.082,2509.798,141.082,2529.406,141.082,2509.798,141.082,2509.798
83,141.101,2509.798,141.101,2529.406,141.101,2509.798,141.101,2509.798,141.101,2529.406,141.101,2529.406,141.101,2509.798,141.101,2509.798
84,141.119,2509.798,141.119,2529.406,141.119,2529.406,141.119,2509.798,141.119,2529.406,141.119,2529.406,141.119,2509.798,141.119,2509.798
85,141.138,2509.798,141.138,2529.406,141.138,2529.406,141.138,2509.798,141.138,2529.406,141.138,2509.798,141.138,2509.798,141.138,2529.406
86,141.156,2529.406,141.156,2529.406,141.156,2509.798,141.156,2509.798,141.156,2509.798,141.156,2529.406,141.156,2529.406,141.156,2509.798
87,141.175,2509.798,141.175,2509.798,141.175,2529.406,141.175,2509.798,141.175,2509.798,141.175,2529.406,141.175,2529.406,141.175,2529.406
88,141.193,2509.798,141.193,2509.798,141.193,2509.798,141.193,2529.406,141.193,2509.798,141.193,2529.406,141.193,2509.798,141.193,2509.798
89,141.211,2509.798,141.211,2529.406,141.211,2509.798,141.211,2529.406,141.211,2509.798,141.211,2529.406,141.211,2509.798,141.211,2509.798
90,141.23,2509.798,141.23,2529.406,141.23,2529.406,141.23,2529.406,141.23,2509.798,141.23,2509.798,141.23,2509.798,141.23,2509.798
91,141.248,2529.406,141.248,2529.406,141.248,2509.798,141.248,2509.798,141.248,2509.798,141.248,2529.406,141.248,2509.798,141.248,2529.406
92,141.267,2509.798,141.267,2529.406,141.267,2509.798,141.267,2529.406,141.267,2509.798,141.267,2529.406,141.267,2509.798,141.267,2509.798
93,141.285,2509.798,141.285,2509.798,141.285,2529.406,141.285,2529.406,141.285,2529.406,141.285,2529.406,141.285,2509.798,141.285,2529.406
94,141.304,2509.798,141.304,2529.406,141.304,2529.406,141.304,2529.406,141.304,2529.406,141.304,2509.798,141.304,2509.798,141.304,2529.406
95,141.322,2509.798,141.322,2509.798,141.322,2529.406,141.322,2509.798,141.322,2529.406,141.322,2509.798,141.322,2529.406,141.322,2529.406
96,141.34,2509.798,141.34,2509.798,141.34,2529.406,141.34,2509.798,141.34,2529.406,141.34,2529.406,141.34,2529.406,141.34,2509.798
97,141.359,2509.798,141.359,2529.406,141.359,2529.406,141.359,2529.406,141.359,2509.798,141.359,2529.406,141.359,2529.406,141.359,2509.798
98,141.377,2509.798,141.377,2529.406,141.377,2529.406,141.377,2529.406,141.377,2529.406,141.377,2509.798,141.377,2509.798,141.377,2509.798
99,141.396,2509.798,141.396,2529.406,141.396,2529.406,141.396,2509.798,141.396,2509.798,141.396,2509.798,141.396,2509.798,141.396,2509.798
100,141.414,2509.798,141.414,2529.406,141.414,2529.406,141.414,2509.798,141.414,2509.798,141.414,2509.798,141.414,2509.798,141.414,2509.798
101,141.433,2509.798,141.433,2509.798,141.433,2509.798,141.433,2529.406,141.433,2529.406,141.433,2529.406,141.433,2509.798,141.433,2509.798
102,141.451,2509.798,141.451,2509.798,141.451,2529.406,141.451,2529.406,141.451,2529.406,141.451,2529.406,141.451,2509.798,141.451,2509.798
103,141.469,2509.798,141.469,2529.406,141.469,2509.798,141.469,2529.406,141.469,2529.406,141.469,2529.406,141.469,2509.798,141.469,2529.406
104,141.488,2509.798,141.488,2529.406,141.488,2529.406,141.488,2529.406,141.488,2509.798,141.488,2529.406,141.488,2509.798,141.488,2529.406
105,141.506,2509.798,141.506,2509.798,141.506,2529.406,141.506,2529.406,141.506,2509.798,141.506,2529.406,141.506,2509.798,141.506,2509.798
106,141.525,2529.406,141.525,2509.798,141.525,2509.798,141.525,2529.406,141.525,2529.406,141.525,2529.406,141.525,2509.798,141.525,2509.798
107,141.543,2529.406,141.543,2509.798,141.543,2529.406,141.543,2529.406,141.543,2509.798,141.543,2529.406,141.543,2509.798,141.543,2529.406
108,141.562,2529.406,141.562,2509.798,141.562,2529.406,141.562,2529.406,141.562,2529.406,141.562,2509.798,141.562,2509.798,141.562,2529.406
109,141.58,2529.406,141.58,2529.406,141.58,2529.406,141.58,2509.798,141.58,2509.798,141.58,2529.406,141.58,2509.798,141.58,2529.406
110,141.599,2529.406,141.599,2509.798,141.599,2529.406,141.599,2529.406,141.599,2509.798,141.599,2529.406,141.599,2509.798,141.599,2509.798
111,141.617,2509.798,141.617,2509.798,141.617,2529.406,141.617,2529.406,141.617,2529.406,141.617,2509.798,141.617,2509.798,141.617,2509.798
112,141.635,2509.798,141.635,2529.406,141.635,2529.406,141.635,2529.406,141.635,2529.406,141.635,2509.798,141.635,2490.19,141.635,2509.798
