Index,Time,4ES_1,4PF_1
339,6.248,2509.798,2529.406
340,6.267,2509.798,2529.406
341,6.285,2509.798,2509.798
342,6.304,2509.798,2529.406
343,6.322,2509.798,2529.406
344,6.341,2509.798,2529.406
345,6.359,2509.798,2529.406
346,6.377,2509.798,2529.406
347,6.396,2509.798,2509.798
348,6.414,2509.798,2549.014
349,6.433,2509.798,2509.798
350,6.451,2509.798,2529.406
351,6.47,2509.798,2529.406
352,6.488,2509.798,2529.406
353,6.507,2529.406,2529.406
354,6.525,2509.798,2529.406
355,6.543,2509.798,2509.798
356,6.562,2509.798,2509.798
357,6.58,2509.798,2529.406
358,6.599,2509.798,2529.406
359,6.617,2509.798,2529.406
360,6.636,2529.406,2529.406
361,6.654,2529.406,2529.406
362,6.672,2509.798,2529.406
363,6.691,2509.798,2529.406
364,6.709,2509.798,2529.406
365,6.728,2509.798,2509.798
366,6.746,2509.798,2529.406
367,6.765,2509.798,2529.406
368,6.783,2529.406,2529.406
369,6.801,2509.798,2529.406
370,6.82,2509.798,2529.406
371,6.838,2509.798,2529.406
372,6.857,2509.798,2529.406
373,6.875,2509.798,2529.406
374,6.894,2509.798,2509.798
375,6.912,2509.798,2529.406
376,6.93,2529.406,2529.406
377,6.949,2509.798,2529.406
378,6.967,2529.406,2529.406
379,6.986,2509.798,2509.798
380,7.004,2509.798,2529.406
381,7.023,2509.798,2529.406
382,7.041,2509.798,2529.406
383,7.059,2509.798,2509.798
384,7.078,2509.798,2509.798
385,7.096,2509.798,2529.406
386,7.115,2509.798,2529.406
387,7.133,2509.798,2509.798
388,7.152,2529.406,2509.798
389,7.17,2509.798,2529.406
390,7.188,2509.798,2529.406
391,7.207,2509.798,2529.406
392,7.225,2509.798,2529.406
393,7.244,2509.798,2529.406
394,7.262,2529.406,2509.798
395,7.281,2509.798,2529.406
396,7.299,2529.406,2529.406
397,7.318,2509.798,2529.406
398,7.336,2529.406,2529.406
399,7.354,2509.798,2509.798
400,7.373,2509.798,2529.406
401,7.391,2509.798,2529.406
402,7.41,2509.798,2529.406
403,7.428,2529.406,2529.406
404,7.447,2529.406,2509.798
405,7.465,2509.798,2529.406
406,7.483,2509.798,2509.798
407,7.502,2509.798,2529.406
408,7.52,2509.798,2509.798
409,7.539,2509.798,2509.798
410,7.557,2529.406,2509.798
411,7.576,2509.798,2529.406
412,7.594,2529.406,2529.406
413,7.612,2509.798,2529.406
414,7.631,2509.798,2529.406
415,7.649,2509.798,2509.798
416,7.668,2509.798,2509.798
417,7.686,2509.798,2529.406
418,7.705,2509.798,2529.406
419,7.723,2509.798,2529.406
420,7.741,2509.798,2529.406
421,7.76,2509.798,2529.406
422,7.778,2509.798,2529.406
423,7.797,2509.798,2529.406
424,7.815,2509.798,2509.798
425,7.834,2509.798,2529.406
426,7.852,2529.406,2509.798
427,7.87,2509.798,2509.798
428,7.889,2529.406,2529.406
429,7.907,2509.798,2529.406
430,7.926,2509.798,2529.406
431,7.944,2509.798,2529.406
432,7.963,2529.406,2509.798
433,7.981,2529.406,2529.406
434,7.999,2509.798,2529.406
435,8.018,2509.798,2529.406
436,8.036,2509.798,2509.798
437,8.055,2509.798,2509.798
438,8.073,2509.798,2509.798
439,8.092,2509.798,2529.406
440,8.11,2509.798,2529.406
441,8.129,2509.798,2529.406
442,8.147,2509.798,2529.406
443,8.165,2509.798,2509.798
444,8.184,2509.798,2509.798
445,8.202,2509.798,2509.798
446,8.221,2529.406,2529.406
447,8.239,2509.798,2529.406
448,8.258,2509.798,2529.406
449,8.276,2529.406,2509.798
450,8.294,2509.798,2529.406
451,8.313,2529.406,2509.798
452,8.331,2509.798,2509.798
453,8.35,2509.798,2509.798
454,8.368,2509.798,2509.798
455,8.387,2509.798,2529.406
456,8.405,2529.406,2529.406
457,8.423,2509.798,2529.406
458,8.442,2509.798,2529.406
459,8.46,2509.798,2509.798
460,8.479,2509.798,2509.798
461,8.497,2529.406,2529.406
462,8.516,2529.406,2529.406
463,8.534,2509.798,2529.406
464,8.552,2509.798,2529.406
465,8.571,2509.798,2529.406
466,8.589,2509.798,2509.798
467,8.608,2529.406,2529.406
468,8.626,2529.406,2529.406
469,8.645,2509.798,2529.406
470,8.663,2509.798,2529.406
471,8.681,2529.406,2529.406
472,8.7,2529.406,2509.798
473,8.718,2509.798,2529.406
474,8.737,2529.406,2529.406
475,8.755,2509.798,2529.406
476,8.774,2509.798,2529.406
477,8.792,2509.798,2509.798
478,8.811,2509.798,2509.798
479,8.829,2509.798,2509.798
480,8.847,2529.406,2529.406
481,8.866,2509.798,2529.406
482,8.884,2529.406,2529.406
483,8.903,2509.798,2529.406
484,8.921,2509.798,2509.798
485,8.94,2509.798,2529.406
486,8.958,2509.798,2529.406
487,8.976,2509.798,2529.406
488,8.995,2509.798,2529.406
489,9.013,2529.406,2529.406
490,9.032,2509.798,2529.406
491,9.05,2509.798,2529.406
492,9.069,2509.798,2529.406
493,9.087,2509.798,2529.406
494,9.105,2509.798,2509.798
495,9.124,2529.406,2509.798
496,9.142,2529.406,2529.406
497,9.161,2529.406,2529.406
498,9.179,2509.798,2529.406
499,9.198,2509.798,2529.406
500,9.216,2509.798,2529.406
501,9.234,2529.406,2509.798
502,9.253,2529.406,2529.406
503,9.271,2529.406,2529.406
504,9.29,2529.406,2529.406
505,9.308,2509.798,2509.798
506,9.327,2509.798,2509.798
507,9.345,2509.798,2529.406
508,9.363,2529.406,2509.798
509,9.382,2509.798,2529.406
510,9.4,2529.406,2529.406
511,9.419,2509.798,2529.406
512,9.437,2509.798,2529.406
513,9.456,2509.798,2509.798
514,9.474,2509.798,2509.798
515,9.492,2509.798,2529.406
516,9.511,2529.406,2529.406
517,9.529,2509.798,2509.798
518,9.548,2509.798,2509.798
519,9.566,2509.798,2529.406
520,9.585,2509.798,2509.798
521,9.603,2509.798,2529.406
522,9.622,2509.798,2529.406
523,9.64,2509.798,2529.406
524,9.658,2509.798,2529.406
525,9.677,2529.406,2509.798
526,9.695,2509.798,2509.798
527,9.714,2529.406,2509.798
528,9.732,2529.406,2529.406
529,9.751,2509.798,2529.406
530,9.769,2529.406,2509.798
531,9.787,2509.798,2529.406
532,9.806,2509.798,2529.406
533,9.824,2509.798,2529.406
534,9.843,2509.798,2529.406
535,9.861,2509.798,2529.406
536,9.88,2529.406,2529.406
537,9.898,2509.798,2529.406
538,9.916,2509.798,2529.406
539,9.935,2529.406,2509.798
540,9.953,2509.798,2509.798
541,9.972,2509.798,2529.406
542,9.99,2509.798,2529.406
543,10.009,2509.798,2509.798
544,10.027,2529.406,2509.798
545,10.045,2509.798,2529.406
546,10.064,2529.406,2529.406
547,10.082,2509.798,2529.406
548,10.101,2509.798,2529.406
549,10.119,2529.406,2529.406
550,10.138,2509.798,2529.406
551,10.156,2509.798,2529.406
552,10.174,2529.406,2529.406
553,10.193,2509.798,2529.406
554,10.211,2509.798,2529.406
555,10.23,2509.798,2529.406
556,10.248,2509.798,2529.406
557,10.267,2509.798,2529.406
558,10.285,2529.406,2529.406
559,10.303,2529.406,2529.406
560,10.322,2509.798,2529.406
561,10.34,2509.798,2529.406
562,10.359,2529.406,2509.798
563,10.377,2509.798,2529.406
564,10.396,2509.798,2529.406
565,10.414,2509.798,2529.406
566,10.433,2509.798,2529.406
567,10.451,2509.798,2529.406
568,10.469,2529.406,2529.406
569,10.488,2509.798,2529.406
570,10.506,2529.406,2509.798
571,10.525,2509.798,2529.406
572,10.543,2509.798,2529.406
573,10.562,2509.798,2529.406
574,10.58,2529.406,2529.406
575,10.598,2529.406,2529.406
576,10.617,2509.798,2509.798
577,10.635,2509.798,2509.798
578,10.654,2509.798,2529.406
579,10.672,2509.798,2529.406
580,10.691,2509.798,2529.406
581,10.709,2509.798,2529.406
582,10.727,2529.406,2529.406
583,10.746,2509.798,2529.406
584,10.764,2509.798,2529.406
585,10.783,2509.798,2509.798
586,10.801,2509.798,2529.406
587,10.82,2509.798,2529.406
588,10.838,2509.798,2529.406
589,10.856,2509.798,2529.406
590,10.875,2509.798,2509.798
591,10.893,2509.798,2509.798
592,10.912,2529.406,2529.406
593,10.93,2509.798,2529.406
594,10.949,2529.406,2529.406
595,10.967,2509.798,2529.406
596,10.985,2509.798,2529.406
597,11.004,2509.798,2529.406
598,11.022,2509.798,2529.406
599,11.041,2509.798,2529.406
600,11.059,2509.798,2529.406
601,11.078,2509.798,2529.406
602,11.096,2509.798,2509.798
603,11.115,2509.798,2509.798
604,11.133,2509.798,2529.406
605,11.151,2509.798,2529.406
606,11.17,2509.798,2529.406
607,11.188,2509.798,2529.406
608,11.207,2509.798,2529.406
609,11.225,2509.798,2509.798
610,11.244,2509.798,2529.406
611,11.262,2509.798,2529.406
612,11.28,2509.798,2529.406
613,11.299,2509.798,2529.406
614,11.317,2509.798,2529.406
615,11.336,2509.798,2529.406
616,11.354,2529.406,2529.406
617,11.373,2529.406,2529.406
618,11.391,2509.798,2529.406
619,11.409,2509.798,2529.406
